tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		1.0	214.8	0.7	CS1-1a_LP-DIR-T	OPRM 9-Jul 2021 17:33	6.21e-07	5.1000000000000005e-11	3.55e-11	7.6e-13	8	273	CS1-1a_LP-DIR-T-1	LT-T-Z:LP-DIR-T	g	1	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	0	373.0
	This study		1.0	212.0	1.2	CS1-1a_LP-DIR-T	OPRM 9-Jul 2021 17:34	6.070000000000001e-07	5.15e-11	3.22e-11	1.26e-12	8	273	CS1-1a_LP-DIR-T-2	LT-T-Z:LP-DIR-T	g	2	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	1	373.0
	This study		1.0	211.3	0.2	CS1-1a_LP-DIR-T	OPRM 9-Jul 2021 17:39	6.12e-07	5.2200000000000005e-11	3.18e-11	2.1e-13	8	273	CS1-1a_LP-DIR-T-3	LT-T-Z:LP-DIR-T	g	3	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	2	373.0
	This study		1.0	214.2	-0.8	CS1-1a_LP-DIR-T	OPRM 19-Jul 2021 16:19	5.870000000000001e-07	4.85e-11	3.3e-11	8.499999999999999e-13	8	273	CS1-1a_LP-DIR-T-4	LT-T-Z:LP-DIR-T	g	4	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	3	423.0
	This study		1.0	212.3	0.1	CS1-1a_LP-DIR-T	OPRM 19-Jul 2021 16:20	5.71e-07	4.8300000000000004e-11	3.0500000000000005e-11	1.2e-13	8	273	CS1-1a_LP-DIR-T-5	LT-T-Z:LP-DIR-T	g	5	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	4	423.0
	This study		1.0	215.0	-0.1	CS1-1a_LP-DIR-T	OPRM 19-Jul 2021 16:22	5.64e-07	4.62e-11	3.23e-11	1.2e-13	8	273	CS1-1a_LP-DIR-T-6	LT-T-Z:LP-DIR-T	g	6	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	5	423.0
	This study		1.0	214.2	-2.3	CS1-1a_LP-DIR-T	OPRM 19-Jul 2021 18:26	4.970000000000001e-07	4.1e-11	2.79e-11	1.97e-12	8	273	CS1-1a_LP-DIR-T-7	LT-T-Z:LP-DIR-T	g	7	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	6	473.0
	This study		1.0	213.4	-3.1	CS1-1a_LP-DIR-T	OPRM 19-Jul 2021 18:27	5.13e-07	4.28e-11	2.82e-11	2.75e-12	8	273	CS1-1a_LP-DIR-T-8	LT-T-Z:LP-DIR-T	g	8	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	7	473.0
	This study		1.0	210.3	-3.3	CS1-1a_LP-DIR-T	OPRM 19-Jul 2021 18:29	5.03e-07	4.34e-11	2.5399999999999998e-11	2.8900000000000004e-12	8	273	CS1-1a_LP-DIR-T-9	LT-T-Z:LP-DIR-T	g	9	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	8	473.0
	This study		1.0	213.0	-3.4	CS1-1a_LP-DIR-T	OPRM 20-Jul 2021 16:27	4.6799999999999996e-07	3.92e-11	2.5500000000000002e-11	2.7999999999999998e-12	8	273	CS1-1a_LP-DIR-T-10	LT-T-Z:LP-DIR-T	g	10	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	9	523.0
	This study		1.0	211.7	-3.4	CS1-1a_LP-DIR-T	OPRM 20-Jul 2021 16:29	4.5700000000000003e-07	3.88e-11	2.3999999999999998e-11	2.7000000000000002e-12	8	273	CS1-1a_LP-DIR-T-11	LT-T-Z:LP-DIR-T	g	11	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	10	523.0
	This study		1.0	211.5	-3.7	CS1-1a_LP-DIR-T	OPRM 20-Jul 2021 16:35	4.51e-07	3.84e-11	2.35e-11	2.8800000000000002e-12	8	273	CS1-1a_LP-DIR-T-12	LT-T-Z:LP-DIR-T	g	12	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	11	523.0
	This study		1.0	213.2	-6.8	CS1-1a_LP-DIR-T	OPRM 21-Jul 2021 08:52	3.89e-07	3.23e-11	2.1100000000000003e-11	4.59e-12	8	273	CS1-1a_LP-DIR-T-13	LT-T-Z:LP-DIR-T	g	13	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	12	573.0
	This study		1.0	212.2	-6.5	CS1-1a_LP-DIR-T	OPRM 21-Jul 2021 08:54	3.91e-07	3.29e-11	2.0699999999999997e-11	4.4299999999999995e-12	8	273	CS1-1a_LP-DIR-T-14	LT-T-Z:LP-DIR-T	g	14	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	13	573.0
	This study		1.0	213.2	-4.4	CS1-1a_LP-DIR-T	OPRM 21-Jul 2021 08:55	3.92e-07	3.27e-11	2.14e-11	2.99e-12	8	273	CS1-1a_LP-DIR-T-15	LT-T-Z:LP-DIR-T	g	15	pmagpy-4.2.24-1	CS1-1a	u	0	0	0.0	0.0	14	573.0
