tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
CS1-1a_LP-DIR-T-1	CS1-1a_LP-DIR-T	CS1-1a	1.1	212.6	1.2	0	0	0.0	0.0	0	273.0	This study	hargrave 2021-07-08 14:17:09	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.24-1	4.2e-07	1.65e-09	5.03e-09	6.5e-09	CS1-1	CS1	unknown
CS1-1a_LP-DIR-T-2	CS1-1a_LP-DIR-T	CS1-1a	1.0	211.6	0.4	0	0	0.0	0.0	1	373.0	This study	hargrave 2021-07-09 13:34:13	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.24-1	4.13e-07	2.46e-09	3.91e-09	5.45e-09	CS1-1	CS1	unknown
CS1-1a_LP-DIR-T-3	CS1-1a_LP-DIR-T	CS1-1a	0.9	211.5	-0.0	0	0	0.0	0.0	2	423.0	This study	hargrave 2021-07-19 14:22:40	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.24-1	4.01e-07	2.6100000000000003e-09	2.82e-09	5.61e-09	CS1-1	CS1	unknown
CS1-1a_LP-DIR-T-4	CS1-1a_LP-DIR-T	CS1-1a	0.9	214.0	-3.0	0	0	0.0	0.0	3	473.0	This study	hargrave 2021-07-20 10:19:28	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.24-1	3.32e-07	8.14e-10	1.49e-09	4.79e-09	CS1-1	CS1	unknown
CS1-1a_LP-DIR-T-5	CS1-1a_LP-DIR-T	CS1-1a	4.1	210.1	-4.0	0	0	0.0	0.0	4	523.0	This study	hargrave 2021-07-20 16:20:14	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.24-1	3.11e-07	1.09e-08	1.88e-08	4.36e-09	CS1-1	CS1	unknown
CS1-1a_LP-DIR-T-6	CS1-1a_LP-DIR-T	CS1-1a	2.6	209.8	-6.0	0	0	0.0	0.0	5	573.0	This study	hargrave 2021-07-21 13:35:48	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.24-1	2.67e-07	6.05e-09	9.940000000000002e-09	4.18e-09	CS1-1	CS1	unknown
CS1-1a_LP-DIR-T-7	CS1-1a_LP-DIR-T	CS1-1a	0.9	207.5	-10.2	0	0	0.0	0.0	6	623.0	This study	hargrave 2021-07-22 11:59:49	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.24-1	1.82e-07	1.3900000000000002e-09	6.35e-10	2.8100000000000004e-09	CS1-1	CS1	unknown
CS1-1a_LP-DIR-T-8	CS1-1a_LP-DIR-T	CS1-1a	6.0	203.1	-13.0	0	0	0.0	0.0	7	648.0	This study	hargrave 2021-07-22 17:47:48	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.24-1	1.62e-07	6.3e-09	1.57e-08	2.49e-09	CS1-1	CS1	unknown
CS1-1a_LP-DIR-T-9	CS1-1a_LP-DIR-T	CS1-1a	1.7	205.2	-13.9	0	0	0.0	0.0	8	673.0	This study	hargrave 2021-07-23 19:43:05	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.24-1	1.53e-07	2.6e-09	3.27e-09	2.31e-09	CS1-1	CS1	unknown
CS1-1a_LP-DIR-T-10	CS1-1a_LP-DIR-T	CS1-1a	1.8	207.8	-14.5	0	0	0.0	0.0	9	698.0	This study	hargrave 2021-07-25 09:55:28	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.24-1	1.45e-07	1.7800000000000005e-09	3.76e-09	2.39e-09	CS1-1	CS1	unknown
